participant_number,ResponseId,has_conversation,conversation_id,UserID,MatchMethod,data_status,treatment,testscore,MessageCount,ConversationDurationMinutes,Session,start_time_unix
117,R_82L0mLLWv5EOP2p,False,,,,No conversation data,AI-assisted,11.0,0.0,0.0,,
118,R_2GpTCSeozSzoEFN,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
119,R_2YYWPAFy4ZxHXHz,False,,,,No conversation data,AI-assisted,5.0,0.0,0.0,,
120,R_8CCln2gYZud42KR,True,674f4317-c830-8008-a1af-6abdffb1b9de,Generated_03122024_1842,PromptData,Recovered from promptdata,AI-assisted,9.0,69.0,32.80374058087667,Unknown Session,1733212380.0
121,R_2FgOgiTJ061FD5U,True,674eeef3-f4fc-8007-a164-373289bb2bd1,Generated_03122024_1243,PromptData,Recovered from promptdata,AI-assisted,10.0,66.0,13.32952791849772,Unknown Session,1733216880.0
122,R_8c0j4WjB7aVOuJ3,True,674f3266-1208-8001-8790-f92390f883fd,,RecoveredData,Recovered,AI-assisted,11.0,0.0,0.0,Unknown Session,1733221500.0
123,R_8rQ7gpZL8IDJ51T,False,,,,No conversation data,AI-assisted,7.0,0.0,0.0,,
124,R_87iwwoN9aTz2YGR,False,,,,No conversation data,AI-assisted,7.0,0.0,0.0,,
125,R_8N9JXCOKrZ1SwiR,False,,,,No conversation data,AI-assisted,7.0,0.0,0.0,,
126,R_2f1v5uWXMHJwEQo,False,,,,No conversation data,AI-assisted,10.0,0.0,0.0,,
127,R_85HKcXyQLUYXNFT,False,,,,No conversation data,AI-assisted,,0.0,0.0,,
128,R_82DuR70WJdriOVb,True,67506d12-5a28-8008-b8a3-07643b4d8db9,Generated_04122024_1554,PromptData,Recovered from promptdata,AI-assisted,8.0,2.0,0.1215391000111897,Unknown Session,1733303340.0
129,R_2dB03Mf09zOeM4x,True,675040fe-8a4c-8002-bca7-8cda704da262,Generated_04122024_1246,PromptData,Recovered from promptdata,AI-assisted,6.0,52.0,15.946301849683126,Unknown Session,1733307540.0
130,R_2Gw2v5whflW2n8l,True,67517be8-3f9c-800c-b322-9fc3338924bb,,Timestamp,Complete,AI-assisted,8.0,26.0,0.0,Unknown Session,1733366340.0
131,R_2QK8y3PiiJ739uA,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
132,R_2LI5fximhtrwqVt,True,6751d69b-4d18-800e-a80a-4b649aac1206,Generated_05122024_1736,PromptData,Recovered from promptdata,AI-assisted,9.0,42.0,20.525120115280156,Unknown Session,1733390160.0
133,R_8ffOman88fYnoXb,False,,AutoID_88fYnoXb,,Missing conversation,Control,8.0,0.0,0.0,Session 1,1732762620.0
134,R_2htMpcciGwfEJ0O,False,,AutoID_iGwfEJ0O,,Missing conversation,AI-assisted,6.0,0.0,0.0,Session 1,1732766400.0
135,R_8RwZHTn8RQOXmtH,True,674da4e4-ee00-8009-9d26-98c351663e12,,Timestamp,Complete,AI-guided,6.0,70.0,0.0,Unknown Session,1733112540.0
136,R_2OiGj7c1qd9L01e,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
137,R_8iqkZkUY6XQpZoR,False,,,,No conversation data,AI-assisted,10.0,0.0,0.0,,
138,R_8cjbZ05HQ7XBuVc,True,6751c501-851c-8002-8978-5010ee03d753,,ExplicitID,Complete,AI-assisted,8.0,31.0,0.0,Unknown Session,1733203260.0
139,R_8zvXJ457Rkiu50U,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
140,R_8MGQaEqOF8QApMJ,True,674f3403-4e30-8008-9aa5-afd019d4ae24,Generated_03122024_1738,PromptData,Recovered from promptdata,AI-assisted,6.0,20.0,18.64674266576767,Unknown Session,1733212380.0
141,R_88UlvdtDUiwvoFS,True,674edb41-d378-8007-ac81-d6774480d5cf,Generated_03122024_1119,PromptData,Recovered from promptdata,AI-assisted,10.0,20.0,10.299891996383668,Unknown Session,1733216880.0
142,R_862TqU5PmKaQTk1,True,674f2301-a09c-8001-8993-73e9955a02fc,,RecoveredData,Recovered,AI-assisted,9.0,0.0,0.0,Unknown Session,1733221500.0
143,R_82tNxdfffvSUnok,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
144,R_2CCy9fIQuQxTLcH,True,67504189-7c74-8005-a28c-035875662958,,Timestamp,Complete,AI-assisted,10.0,33.0,0.0,Unknown Session,1733285460.0
145,R_8fkCpcRlnC7qglJ,True,67505d60-f930-8012-8f0d-f3b1d667560c,,Timestamp,Duplicate,AI-assisted,5.0,12.0,0.0,Unknown Session,1733290020.0
146,R_2GwaDkyjWGzGwmL,False,,,,No conversation data,AI-assisted,7.0,0.0,0.0,,
147,R_83qG7PtVgZkA5wG,False,,,,No conversation data,AI-assisted,10.0,0.0,0.0,,
148,R_83xLgfZ2z7JLH2y,True,67506445-6908-8008-bf40-738389895c63,Generated_04122024_1516,PromptData,Recovered from promptdata,AI-assisted,11.0,4.0,0.0446692665417989,Unknown Session,1733303340.0
149,R_2qrRlo6F1thX30J,True,67509a06-0bb8-8007-a727-fb13bf605084,Generated_04122024_1905,PromptData,Recovered from promptdata,AI-assisted,,6.0,1.6984446009000145,Unknown Session,1733307540.0
150,R_8Vayzfs4WnEh0G0,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
151,R_2LFCPopR67E5uB7,True,6751d825-07e4-8007-9d0f-9062466a11d0,,Timestamp,Duplicate,AI-assisted,10.0,27.0,0.0,Unknown Session,1733385240.0
152,R_8dR0Uoy3xufVd4Z,True,6751c5aa-7a14-800e-a94c-a6bccd850f16,Generated_05122024_1624,PromptData,Recovered from promptdata,AI-assisted,7.0,28.0,17.090247750282288,Unknown Session,1733390160.0
153,R_8H6XQZXyAaJEE6J,True,674da459-1424-8005-b712-9a1b27814535,,Timestamp,Duplicate,AI-guided,11.0,77.0,0.0,Unknown Session,1733112540.0
154,R_2pbuLnTBCoK9hBQ,False,,,,No conversation data,AI-assisted,5.0,0.0,0.0,,
155,R_2uPQeg5rL4Yues2,True,674efdd0-5c64-8009-ba48-72d79c894da9,,Timestamp,Duplicate,AI-assisted,11.0,69.0,0.0,Unknown Session,1733199120.0
156,R_2K2PDqyYjxlFYtK,False,,,,No conversation data,AI-assisted,4.0,0.0,0.0,,
157,R_2HbxCa8nPoPaq8p,False,,,,No conversation data,AI-assisted,,0.0,0.0,,
158,R_84NMlZE02dmkZ4U,True,674f10a4-9900-8008-b1c5-7190f81aa209,Generated_03122024_1507,PromptData,Recovered from promptdata,AI-assisted,10.0,2.0,0.02466668287913,Unknown Session,1733212380.0
159,R_8D14OuXeagRqtTn,True,674f4836-adfc-8005-9527-3ebb13c87708,Generated_03122024_1904,PromptData,Recovered from promptdata,AI-assisted,7.0,18.0,8.707057213783264,Unknown Session,1733216880.0
160,R_8raaFUaI4tkABah,True,67502bad-2a84-8013-810a-63e43d281ea1,,Timestamp,Duplicate,AI-assisted,,49.0,0.0,Unknown Session,1733279220.0
161,R_8qmXrDyf3dMtO0H,False,,,,No conversation data,AI-assisted,5.0,0.0,0.0,,
162,R_2iPDbSbopoNR7wd,True,675068fe-2b28-800d-8d90-74f4f834118e,,Timestamp,Duplicate,AI-assisted,8.0,11.0,0.0,Unknown Session,1733290020.0
163,R_29bsKva0U3diZEn,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
164,R_2hFpJLBVEGaCEBY,True,67508665-0278-8008-939e-20c11639e4cf,,Timestamp,Duplicate,AI-assisted,10.0,11.0,0.0,Unknown Session,1733298960.0
165,R_84A8w0JG0W89gmf,True,675096bb-28d0-8008-adda-e851efd014d3,Generated_04122024_1851,PromptData,Recovered from promptdata,AI-assisted,8.0,14.0,11.080693952242534,Unknown Session,1733303340.0
166,R_8zzN8wUT8oAbrgo,True,6750855a-1fd8-8007-9ed7-312a8e725b14,Generated_04122024_1737,PromptData,Recovered from promptdata,AI-assisted,9.0,14.0,13.829736852645874,Unknown Session,1733307540.0
167,R_2pltKsQ1aoTVlux,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
168,R_8PIehlH6ppwID9h,True,67517fba-4f28-800e-9fe9-9fda484ba697,Generated_05122024_1126,PromptData,Recovered from promptdata,AI-assisted,8.0,32.0,11.84983968337377,Unknown Session,1733390160.0
169,R_886igvX39wE2QiR,False,,,,No conversation data,AI-guided,11.0,0.0,0.0,,
170,R_2G8vfS5DY1dgNSj,False,,,,No conversation data,AI-assisted,11.0,0.0,0.0,,
171,R_2ph8kOwxW2DdSxu,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
172,R_2pYLTHBaVB47ccc,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
173,R_2nTkzQinJS5YTy9,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
